-2, 5.489317864
-1.9, 5.144992961
-1.8, 4.801185923
-1.7, 4.458139086
-1.6, 4.116201448
-1.5, 3.775870733
-1.4, 3.437848818
-1.3, 3.103112050
-1.2, 2.772996130
-1.1, 2.449291232
-1.0, 2.134335850
-.9, 1.831086665
-.8, 1.543127248
-.7, 1.274563313
-.6, 1.029745894
-.5, .8127820476
-.4, .6268544598
-.3, .4734829308
-.2, .3519835403
-.1, .2594159015
0., .1911496172
.1, .1418610097
.2, .1065278054
.3, .8104869980e-1
.4, .6240371843e-1
.5, .4851055754e-1
.6, .3797714136e-1
.7, .2987393575e-1
.8, .2356598685e-1
1.0, .1461479479e-1
