0.01  5.489317864
0.0125893  5.144992961
0.0158489  4.801185923
0.0199526  4.458139086
0.0251189  4.116201448
0.0316228  3.775870733
0.0398107  3.437848818
0.0501187  3.103112050
0.0630957  2.772996130
0.0794328  2.449291232
0.1  2.134335850
0.125893  1.831086665
0.158489  1.543127248
0.199526  1.274563313
0.251189  1.029745894
0.316228  .8127820476
0.398107  .6268544598
0.501187  .4734829308
0.630957  .3519835403
0.794328  .2594159015
1  .1911496172
1.25893  .1418610097
1.58489  .1065278054
1.99526  .8104869980e-1
2.51189  .6240371843e-1
3.16228  .4851055754e-1
3.98107  .3797714136e-1
5.01187  .2987393575e-1
6.30957  .2356598685e-1
10  .1461479479e-1
